Metin,Durum,Temiz
çok güzel bir ürün,1,çok güzel ürün
10 10 bir ürün,1,ürün
Çok iyi oyunlar,1,çok iyi oyun
Kargo hızlıydı,1,kargo hız
Gayet başarılı.,1,gayet başarı
Guzel begendik,1,guzel begendik
Çok beğendiiim,1,çok beğen
Ürünün kalitesini hiç beğenmedim tamamen ucuz bir plastik gibi kablosunu vs açmadım bile iade ettim ama iadem reddedilmiş. Vasatsınız,0,ürün kalite hiç beğen ucuz plastik kablo vs aç iade iade reddet vasat
Resmen start tuşuna basmak için özel bir gücünüzün falan olması gerekiyor tırnağımı kırdı öyle ki basılmıyor berbat bir ürün,0,resmen start tuş bas için özel güç tırnak kır öyle bas berbat ürün
Ürün hiç güzel değil boşuna da almayın bataryası hemen şişti şarj olmuyor oğlum en fazla iki gün oynadı iadesini de yapamadım bir sorun Çıkmaz diye fişini atmıştım hiç memnun kalmadım(ürünün iadesini yapamadığım için bataryayı ayrı bi cihazla şarj edip kullandık aynı sorunu yaşayanlar böyle yapsın bence),0,ürün hiç güzel değil boşuna al batarya hemen şiş şarj oğul fazla gün oyna iade sorun çık fiş at hiç memnun kal ürün iade için batarya ayrı cihaz şarj kullan aynı sorun yaşa böyle
Aldım şarja taktım açmadan açayım dedim ses var görüntü yok çok üzülerek iade ettim,0,al şarj tak aç aç ses görüntü yok çok üz iade
fiyata bakilirsa çok basit incecik bı plastikten yapılmış bı kere yere düşse geri dönüşü Yok,0,fiyat bakilirsa çok basit incecik bı plastik bı kere yer düş geri dön yok
Ürünün Kalitesi çok iyi değil ve görüntü kalitesi de iyi değil pek böyle karanlık gibi ekran .,0,ürün kalite çok iyi değil görüntü kalite iyi değil böyle karanlık ekran
Nostalji adı üstünde olduğu gibi ama eğlenceli çocuklarım çok beğendi,1,nostalji ad üst eğlence çocuk çok beğen
urun sorunlu geldi iki tane almıştım ama mavi olanı gönderdim paramın iadesini istiyorum,0,ur sorun gel tane al mavi gönder para iade iste
Ekran ışığı çok göz yorucu olduğu için iade ettim,0,ekran ışık çok göz yorucu için iade
malesef begenmedik cok basit bir urun,0,malesef begenmedik basit ur
çabuk deforme olacak gibi.,0,çabuk deforme
Ürün iyi çikti sorun yok.,1,ürün iyi çikti sorun yok
Göründüğünden daha küçükmüş..,0,görün küçük
çok güzel ve eğlencelii??,1,çok güzel eğlence
Fena değil,2,fena değil
Fena değil,2,fena değil
güzel baya oyun var,1,güzel bay oyun
gorunduyu kimi,2,gorunduyu
Ürün paketleme harika çok çabuk ulaştı inşallah bir sorun ileriki zamanlarda çıkmaz teşekkürler...,1,ürün paketle harika çok çabuk ulaş inşallah sorun ileri zaman çık teşekkür
süper ürün,1,süper ürün
Gerçekten bi harika,1,gerçekten harika
Süper keyifli bişey,1,süper keyif bişey
Beklediğimden kalitesiz çıktı. Tam açıp oyun oynarken kendini kapattı bir daha açılmadı. İade etmek zorunda kaldım.,0,bekle kalite çık aç oyun oyna kapa aç iade zor kal
Ürün çok kötü. Şarj almıyor. Sadece 1 gün kullanabildik. Cihaz açılmıyor bile.. kesinlikle tavsiye etmiyorum...,0,ürün çok kötü şarj al sadece gün kullan cihaz aç kesinlikle tavsiye
2 urun aldım kargo cok gec geldı bırının bataryası yoktu paketler cok dagılmıstı 2 urunden bır tane sarj kablosu cıktı o da calısmadı pek memnun kalmadım,0,ur al kargo gec geldı bırının batarya yok paket dagılmıstı urunden bır tane sarj kablo cıktı calısmadı memnun kal
Ürün bozuldu iletişe geçeceğimiz bir numara yok alacaksanız daha düzgün satıcılardan alın,0,ürün boz iletişe geç numara yok al düzgün satıcı al
Beklediğimi bulamadım ben aldıktan sonra fiyatı acayip düştü çok üzüldüm,0,bekle bul al fiyat acayip düş çok üz
Şarj çok hızlı bitiyor Türkçe olmaması eksi çocuklar için,0,şarj çok hız bit türkçe eksi çocuk için
bu paraya daha kaliteli bekliyirdum. maaalesef degil. ama özlediğimiz oyunlar var,0,para kalite bekliyirdum maalesef degil özle oyun
Beni eski zamanlara götürdü süper,1,eski zaman götür süper
ilk dususte beyni gitti,0,ilk dususte beyin git
Göründüğü gibi büyük değil bayağı küçük,0,görün büyük değil bayağı küçük
gayet iyi hizli kargo,1,gayet iyi hizli kargo
Piyasadan pahalıya aldım burdan ama güzel ürün,2,piyasa paha al burdan güzel ürün
henüz kullanmadım bi süre kullanıp yorum yazacağım,2,henüz kullan süre kullan yorum yaz
Pek begendiğim söylenemez,0,begendik söyle
şarjı çabuk bitiyor daha kaliteli olabilirdi,0,şarj çabuk bit kalite
Dandik ama iş görür,0,dandik iş gör
tuşları zor basıyor,0,tuş zor bas
İdare eder,2,idare
idare eder.,2,idare
Çok güzel eğlenceli,1,çok güzel eğlence
Ürünü hiç begenmedık görüntü kalitesi çok kötü kablosu çok kısa hiç bekledıgım gıbı degıldi bu yüzden iade ettik,0,ürün hiç begenmedık görüntü kalite çok kötü kablo çok kısa hiç bekledıgım gıbı degıldi yüz iade
Ürün gerçekten çok kötü ekran görüntüsü çok kötü çocuğumun gözleri bozulacak pixel pixel üründen hiç memlun değilm,0,ürün gerçekten çok kötü ekran görüntü çok kötü çocuk göz boz pixel pixel ürün hiç memlun değilm
Fiyatına göre kaliteli değil çok çabuk şarzı bitiyor geri iade etmedim şehir dışında olmasaydım kesin iade ederdim,0,fiyat göre kalite değil çok çabuk şarzı bit geri iade şehir dış kesin iade
iade ettim ..çünkü çok basit bir oyuncak ..bu paraya asla değmez..cok küçük..,0,iade çünkü çok basit oyuncak para değ küçük
Ekranı gitmeye başladı bi hafta içinde geri iade ettim,0,ekran git başla hafta iç geri iade
"Bozuk, şarja takılıyken çalışıyor kabloyu çektiğin anda ekranı kararıyor",0,bozuk şarj takı çalış kablo çek an ekran karar
İkizlerim için aldım 2 adet pişman oldum oyunlar çok farlı Mario buradaki Mario gibi değil...,0,ikizler için al adet pişman oyun çok far mario bura mario değil
"Yanlış renk gelmiş ekranı kırık geldi , satıcıya telefonla asla ulaşışmıyor :(",0,yanlış renk gel ekran kırık gel satıcı telefon ulaşışmıyor
oglum heyecenla bekledi ama 2. günde bataryası şişti,0,oglum heyecenla bekle gün batarya şiş
Türkçe yazılı olsaymış daha iyi olurmuş çocuklar anlamıyor 500 oyun var hepsi aynı,0,türkçe yazılı iyi çocuk anla oyun aynı
beğenmedik ürünü ve ekranı çok kötü,0,beğen ürün ekran çok kötü
Beklediğim gibi gelmedi iade attim,0,bekle gel iade attim
Kargo şirketinizi değiştirmenizi tavsiye ederim,0,kargo şirket değiş tavsiye
Güzel kuzum beğendi,1,güzel kuzu beğen
idare eder,2,idare
Ürün güzel,1,ürün güzel
Şarjı çok az gidiyor,0,şarj çok git
Çok güzel bir ürün,1,çok güzel ürün
400 oyun diyo 5 tane oyun yok tam bir hayal kiriklig ??,0,oyun diyo tane oyun yok hayal kiriklig
istediğiniz rengi gondermiyorlar o sıkıntı,0,iste renk gonder sıkıntı
çözünürlük kalitesi çok çok düşük hele tv ye bağlayınca tamamen gidiyor biz çok sevmedik,0,çözünürlük kalite çok çok düşük hele tv bağla git çok sev
Hayatımda gördüğüm en dandik oyuncak. Daha ilk kullanımda şarj yeri koptu. Asla almayın aldırmayın.,0,hayat gör dandik oyuncak ilk kullanım şarj yer kop al al
Ben mavi sipariş verdim beyazını gönderdiniz bunu pek hoş karşılamadım,0,mavi sipariş ver beyaz gönder hoş karşıla
Çok kullanışlı bir ürün değil ekranı çok küçük görüntü kalitesi kötü,0,çok kullan ürün değil ekran çok küçük görüntü kalite kötü
Maalesef bataryası çok kötü 10 dakika gidiyor,0,maalesef batarya çok kötü dakika git
Çok fazla qöz yoruyor,0,çok fazla qöz yor
Fiyatına göre daha iyisi olabilirdi açıkcası,0,fiyat göre iyi açıkcası
fazla bişey beklemeyin.,0,fazla bişey bekle
ekranda biraz cizik vardi.,0,ekran cizik vardi
fazla bişey beklemeyin.,0,fazla bişey bekle
harika bişi ya 10 yaşında ki oğluma aldım ama ben ve eşim de oynadık her oyunda aa bu oyunu hatırladın mı diye sorguluyorus birbirimizi?? bataryası şarj kablosu tv kablosu herşeyi tam geldi el içine tam sığıyo çok büyük değil eğlence %100 garanti??,1,harika bişi yaş oğul al eşim oyna oyun aa oyun hatırla mı sorgula birbiri batarya şarj kablo tv kablo herşeyi gel el iç sığıyo çok büyük değil eğlence garanti
Güzel yaaaa :),1,güzel yaa
Beğenmedik,0,beğen
Çok çabuk bozuldu,0,çok çabuk boz
??????????????????????,1,
idare eder,2,idare
idare eder işte,2,idare iş
İdare eder...,2,idare
rünü 5 gün kullanabildik.ekranı gitti bozuldu 5 gün içinde ????????,0,rünü gün kullan ekran git boz gün iç
Çok kalitesiz hemen kırıldı şarj bile edemedik. 1 gün bile dayanmadı. Tavsiye etmiyorum.,0,çok kalite hemen kır şarj gün dayan tavsiye
Ürün ilk geldiğinde iyiydi fakat 10 gün sonra ekran tamamen gitti hiç memnun kalmadık,0,ürün ilk gel iyi gün ekran git hiç memnun kal
İlk kullanımda 5. Dakikada bozuldu ekran sadece beyaz gözüküyor.,0,ilk kullanım dakika boz ekran sadece beyaz gözük
Ürün de oyun sayısı söylendiği gibi değil kalite rezalet,0,ürün oyun sayı söyle değil kalite rezalet
"Ürün yok, var gösteriliyor, trendyol da işi örtpas etmeye çalışıyor",0,ürün yok göster trendyol iş örtpas çalış
Oyun konsolu kablosu dahil geldi 2 kişilik oynanan ince konsol yokkk,0,oyun konsol kablo dahil gel kişilik oyna ince konsol yokk
Gayet güzel 4 yaşındaki oğluma aldım severek kullanıyor,1,gayet güzel yaş oğul al sev kullan
Berbat bir ürün çin malı,0,berbat ürün çin mal
siyah renk geldi idare eder,2,siyah renk gel idare
şarj yeri bozuldu içine girdi memnun kalmadim,0,şarj yer boz iç gir memnun kalmadim
oyunda asla hız alamıyorsunuz,0,oyun hız al
hic almaya gerek yok degmez,0,hic al yok degmez
Ürün küçücük beğenmedim iade ettim,0,ürün küçücük beğen iade
Kesinlikle almayın paranız boşa gitmesin.,0,kesinlikle al para boş git
Çok kötü kaliteli değil,0,çok kötü kalite değil
verdiğiniz para için yetersiz bir ürün,0,ver para için yetersiz ürün
görüntü kalitesi düşük ekran çok karanlık,0,görüntü kalite düşük ekran çok karanlık
güzel değil görüntü iyi değil ses tek,0,güzel değil görüntü iyi değil ses tek
okadar iyi birsey değil beklentilerimi karşılamadı,0,okadar iyi birsey değil beklenti karşıla
Teslimat çok yavaştı iade ettim,0,teslimat çok yavaş iade
görüntü kalitesi düşük ekran çok karanlık,0,görüntü kalite düşük ekran çok karanlık
"Kızım çok beğendi, eğlenceli dakikalar",1,kız çok beğen eğlence dakika
uyduruk bir dış plastiğe sahip. tavsiye etmem..,0,uyduruk dış plastik sahip tavsiye
parası kalitesine göre fazla,0,para kalite göre fazla
Çok kalitediz,0,çok kalitediz
Çok eglenceli. kalitesi guzel . Tavsiye ederim.,1,çok eglenceli kalite guzel tavsiye
Çok güzel eğlenceli,1,çok güzel eğlence
Çok çabuk şarjı bitiyor 1 dk bile dayanmıyor,0,çok çabuk şarj bit dk dayan
kalitesini beğenmedim. tavsiye etmiyorum.,0,kalite beğen tavsiye
İğrenç bir ürün sarj olmuyor,0,iğrenç ürün sarj
çok kötü aldıma bin pişmanım,0,çok kötü aldıma pişman
Bataryası yoktu almayın alanın elinde kalır yazık,0,batarya yok al alan el kal yazık
Hemen bozuldu,0,hemen boz
çok güzel kızım bayıldı,1,çok güzel kız bayıl
Ekran calismadi.. ??,0,ekran calismadi
cok adi begenmedım,0,adi begenmedım
iyi bi ürün değil,0,iyi ürün değil
oglum çok begendi,1,oglum çok begendi
Ürünüm sorunsuz elime ulaştı kargo cok hızlıydı cok tesekkur ederim 2 tane aldım cocuklarıma cok begendik,1,ürün sorun el ulaş kargo hız tesekkur tane al cocuklar begendik
Süper bir ürün çocuklarımıza artık telefon vermiyoruz bu ürün sayesinde radyasyona maruz kalmıyorlar ve süper mario yu ben dahi oynuyorum ??teşekkürler,1,süper ürün çocuk artık telefon ver ürün saye radyasyon maruz kal süper mario oyna teşekkür
"Çocukluğumuzdaki atarinin günümüze uyumlu modern hali. Oğlumu telefon ve tabletten uzak tutmak için aldım. internet bağlantısı olmadığı için daha güvenli olduğunu düşünüyorum. Ama eşim her fırsatta alıp kendi oynuyor ?? Alışverişim de gayet rahat oldu, ürünümüz çabucak elimize ulaştı. Teşekkürler.",1,çocukluk atari gün uyum modern hal oğul telefon tablet uzak tut için al internet bağlantı için güven düşün eşim fırsat al oyna alışveriş gayet rahat ürün çabucak el ulaş teşekkür
2adet sipariş verdim memnunum daha önce baska 2 satıcıdan aldım bozuk cıkmıslardı ama bunlar süper geldi sükür cocuklar sevindi tabi bizde??,1,adet sipariş ver memnun önce baska satıcı al bozuk cıkmıslart süper gel sükür cocuklar sevin tabi
hediyelik çocuklar ve yetişkinler için çok kullanışlı,1,hediye çocuk yetişkin için çok kullan
"Basta firmaya cok teşekkür ederim, talebim sonrasi hızlıca kargoya verdiler. Üründe herhangi bir sıkıntı yok, eksik yok. uzun süre henüz test edemedik fena degil.",1,bas firma teşekkür talep sonrasi hız kargo ver ürün sıkıntı yok eksik yok uzun süre henüz test fena degil
?????? gayet fiyatına göre iyi bir oyuncak şarjı da iyi gidio TV ye de baglaniyo daha ne olsun??,1,gayet fiyat göre iyi oyuncak şarj iyi gidio tv baglaniyo
Telefonla oynayan çocuklar için çok güzel bir tercih severek oynuyorlar,1,telefon oyna çocuk için çok güzel tercih sev oyna
Ürünü dun sıperıs verdım Bugün teslim aldım çokda memnun kaldık tsk ederim ??,1,ürün dun sıperıs verdım bugün teslim al çokda memnun kal tsk
Fiyatı daha da düşmüş çocukların çok seveceği bir ürün,1,fiyat düş çocuk çok sev ürün
çok beğendik ve çok hızlı geldi,1,çok beğen çok hız gel
urun guzeldi ve Iyi paketlenmiş,1,ur guzeldi ıyi paketle
ekrani çizik geldi malesef en azindan jelatinli yollayabilirdiniz ve bataryasi cok düşükmüş. biraz daha ozenli olunursa iyi olur.,0,ekrani çizik gel malesef azindan jelatinli yolla batarya düşük ozenli iyi
harika çocuklarım çok beğendi teşekkürler,1,harika çocuk çok beğen teşekkür
teşekürler ürün bekledigim gibi geldi ????,1,teşekür ürün bekledigim gel
Ürün çok güzel ve içindeki oyunlar muhteşem,1,ürün çok güzel iç oyun muhteşem
çocukluğuma döndüm...çok beğendim,1,çocukluk dön çok beğen
"Mükemmel , eski günleri hatırladım.",1,mükemmel eski gün hatırla
cok begendigim kaliteliti ürün.,1,begendigim kalite ürün
Çocuklar için aldım ama bende oynuyorum ??????,1,çocuk için al oyna
bir çocuğa alınabilecek en iyi hediye,1,çocuk alın iyi hediye
Eski günlerimi hatırlatıyor. Beğendim,1,eski gün hatırla beğen
ekran kalitesi çok iyi değil ama fiyatına göre idare eder,0,ekran kalite çok iyi değil fiyat göre idare
ekran rengi gorundugu gibi canli degil cok soluk sarj yeri tam oturmuyor bekledigim gibi degil malesef??,0,ekran renk gorundugu canli degil soluk sarj yer otur bekledigim degil malesef
Ekran beklediğimiz gibi değil maalesef,0,ekran bekle değil maalesef
Güzel kullanışlı tavsiye ederim,1,güzel kullan tavsiye
çocuklardan çok biz büyüklere yaradı ??,2,çocuk çok büyük yara
teşekkür ederim,1,teşekkür
Güzel bir ürün,1,güzel ürün
aldım hiç oynamadi çocuklar daha çok biz yaşlar bilir yeni nesil bu ne böyle Dior,2,al hiç oynamadi çocuk çok yaş bil yeni nesil böyle dior
batarya yokdu icinde. oylemi olmasi gerekiyo?,2,batarya yokdu icinde oylemi olmasi gerekiyo
gayet güzel,1,gayet güzel
Ekrandaki simgeler gozukmuyor hic resimdeki gbi bir netlik yok,0,ekran simge gozukmuyor hic resim gbi net yok
"Gereksiz pahalı, asla kaliteli değil. Kimseye tavsiye etmiyorum.",0,paha kalite değil tavsiye
Alınmaya değer mi bilemedim ?? kötü,0,alın değer bil kötü
hiç memnun kalmadım,0,hiç memnun kal
Nostalji isteyenler hemen alsın,1,nostalji iste hemen al
Çok guzel.cocuklarim begendi,1,çok guzel cocuklari begendi
Çok nostaljik,1,çok nostaljik
Cok kral ??,1,kral
beğendik??,1,beğen
Çabuk şarjı bitiyor bir türlü aklı başında oynayamadık,0,çabuk şarj bit türlü akıl baş oyna
Ortalama da bi ürün,2,ortalama ürün
Ürünün kalitesi muhteşem,1,ürün kalite muhteşem
İki tane oğlum var onlar için iki tane aldım keşke almasaydım şarjı hemen bitiyo 10 dk anca oynuyolar sürekli şarjda hiç beğenmedim boşa para verdim kesinlikle almayın sonu pişmanlık,0,tane oğul için tane al keşke al şarj hemen bitiyo dk anca oynuyol sürekli şarj hiç beğen boş para ver kesinlikle al son pişman
Ürün geldikten bir gün sonra bozuldu aşırı kötü bir ürün. Verdiğimiz paraya asla değmedi.,0,ürün gel gün boz aşırı kötü ürün ver para değ
Çabuk bozuldu çok isteyerek almıştım yenisini istetmeye cesaretim yok açıkçası,0,çabuk boz çok iste al yeni iste cesaret yok açıkçası
